timestamp,date,time,temperature,globe_temp,humidity,wind,wind_deg,wind_dir,solar,sw_down,sw_up,lw_down,lw_up,soil_heat
2026-08-25 14:00,2026-08-25,14:00,34.0,47.1,54.0,2.1,172.0,南,743.221,688.678,102.699,468.74,523.313,23.032
2026-08-25 15:00,2026-08-25,15:00,33.9,46.6,55.5,2.3,183.0,南,585.407,536.961,82.489,466.549,514.16,17.518
2026-08-25 16:00,2026-08-25,16:00,33.1,43.8,58.0,2.2,179.0,南,380.996,354.749,69.467,461.19,503.723,9.802
2026-08-25 17:00,2026-08-25,17:00,31.8,39.5,63.8,1.5,78.0,東北東,163.158,150.507,26.59,453.666,488.16,5.682
2026-08-25 17:40,2026-08-25,17:40,31.0,33.2,67.1,1.6,67.0,東北東,34.031,26.701,1.637,448.987,478.054,3.217
2026-08-25 17:50,2026-08-25,17:50,30.7,30.7,68.8,1.4,143.0,南東,19.59,18.333,2.204,447.862,475.501,2.511
2026-08-25 18:00,2026-08-25,18:00,30.5,30.2,70.2,1.6,25.0,北北東,15.886,14.975,2.654,446.175,473.488,1.906
2026-08-25 18:10,2026-08-25,18:10,30.2,29.6,71.2,2.2,77.0,東北東,5.152,5.364,1.171,444.101,471.386,1.386
2026-08-25 18:20,2026-08-25,18:20,30.0,29.1,71.6,1.5,137.0,南東,-0.039,0.868,0.966,442.78,469.272,0.809
2026-08-25 18:30,2026-08-25,18:30,29.5,28.5,75.0,1.1,179.0,南,-2.484,-1.359,0.35,441.278,465.986,0.274
2026-08-25 18:40,2026-08-25,18:40,29.0,28.1,77.8,1.0,180.0,南,-3.172,-1.929,0.479,440.497,463.89,-0.152
2026-08-25 18:50,2026-08-25,18:50,28.9,27.8,77.7,0.8,124.0,南東,-2.781,-1.393,0.895,439.938,462.864,-0.515
2026-08-25 19:00,2026-08-25,19:00,28.5,27.6,79.7,0.6,174.0,南,-3.07,-1.73,0.586,438.803,461.023,-0.865
2026-08-25 19:10,2026-08-25,19:10,28.2,27.3,81.8,0.9,171.0,南,-2.635,-1.317,0.979,439.132,459.999,-1.181
2026-08-25 19:20,2026-08-25,19:20,28.2,27.4,82.0,1.3,181.0,南,-2.232,-0.787,1.074,440.572,459.628,-1.469
2026-08-25 19:30,2026-08-25,19:30,27.9,27.1,83.8,0.6,77.0,東北東,-2.265,-0.936,0.689,441.902,459.036,-1.609
2026-08-25 19:40,2026-08-25,19:40,28.1,27.3,82.5,1.4,172.0,南,-1.56,-0.165,1.849,442.801,460.124,-1.684
